Family and Type,Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale
,,,,,,,,,
,,,,,,,,,
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x350-200x350,1,0.000 m²,0.259 m²,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,350x200-350x200,1,0.000 m²,0.454 m²,,90.00°,0.75
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x300-200x350,1,0.477 m²,0.000 m²,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x300-350x200,1,0.481 m²,0.000 m²,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x300-386x290,1,0.554 m²,0.000 m²,Equal Taper,,
'1: 5,,,,5,1.512 m²,0.713 m²,,,
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,700x700-700x700,10,0.000 m²,23.091 m²,,90.00°,0.75
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,700x700-500x950,3,5.243 m²,0.000 m²,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,700x700-500x950,3,6.119 m²,0.000 m²,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1070x745-700x700,5,13.014 m²,0.000 m²,Equal Taper,,
'2: 21,,,,21,24.376 m²,23.091 m²,,,
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,500x950-500x950,1,0.000 m²,1.708 m²,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,800x1200-800x1200,1,0.000 m²,3.770 m²,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,950x500-950x500,5,0.000 m²,16.228 m²,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,1000x1000-1000x1000,3,0.000 m²,14.137 m²,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,1200x800-1200x800,1,0.000 m²,5.655 m²,,90.00°,0.75
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1070x745-700x700,1,2.603 m²,0.000 m²,Equal Taper,,
M_Rectangular Flanged Transition - Length: 900 mm,Duct Wrap,25 mm,1000x1000-1200x800,1,4.141 m²,0.000 m²,Equal Taper,,
M_Rectangular Flanged Transition - Length: 900 mm,Duct Wrap,25 mm,1200x1200-1000x1000,2,9.732 m²,0.000 m²,Equal Taper,,
'3: 15,,,,15,16.476 m²,41.498 m²,,,
Grand total: 41,,,,41,42.364 m²,65.302 m²,,,
