"LENMED Duct Schedule Medium Pressure 
Insulated Cladded",Insulation Type,Insulation Thickness,Size,Length (m),Area (m²),Width (mm),Height (mm),Catagory Type
Family and Type,,,,,,,,
,,,,,,,,
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,200x350,1.198,1.318,200,350,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,350x200,1.445,1.589,350,200,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,400x300,0.115,0.161,400,300,1
'1: 4,,,,2.758,3.068,,,
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,700x700,14.601,40.884,700,700,2
'2: 15,,,,14.601,40.884,,,
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,950x500,0.235,0.681,950,500,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,1000x1000,2.143,8.573,1000,1000,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,1200x800,2.288,9.154,1200,800,3
'3: 4,,,,4.667,18.408,,,
Round Duct: DW144 - Taps - Pressed - Flanged,Duct Wrap,25 mm,350ø,7.792,8.568,,,
: 8,,,,7.792,8.568,,,
Grand total: 31,,,,29.818,70.928,,,
